cds_header,cds_seqname,gene,locus_tag,protein_desc_from_cds,protein_id,gene_base,locus_base,protein_header,protein_desc_from_protein,protein_present_in_faa
lcl|BDGG01000006.1_cds_GAV00161.1_13058 [gene=RvY_11048-1] [locus_tag=RvY_11048] [protein=hypothetical protein] [protein_id=GAV00161.1] [location=117623..117841] [gbkey=CDS],lcl|BDGG01000006.1_cds_GAV00161.1_13058,RvY_11048-1,RvY_11048,hypothetical protein,GAV00161.1,RvY_11048,RvY_11048,GAV00161.1 hypothetical protein RvY_11048 [Ramazzottius varieornatus],hypothetical protein RvY_11048,TRUE
lcl|BDGG01000006.1_cds_GAV00162.1_13059 [gene=RvY_11049-1] [locus_tag=RvY_11049] [protein=hypothetical protein] [protein_id=GAV00162.1] [location=118485..118829] [gbkey=CDS],lcl|BDGG01000006.1_cds_GAV00162.1_13059,RvY_11049-1,RvY_11049,hypothetical protein,GAV00162.1,RvY_11049,RvY_11049,GAV00162.1 hypothetical protein RvY_11049 [Ramazzottius varieornatus],hypothetical protein RvY_11049,TRUE
"lcl|BDGG01000006.1_cds_GAV00163.1_13060 [gene=RvY_11050-1] [locus_tag=RvY_11050] [protein=hypothetical protein] [protein_id=GAV00163.1] [location=complement(join(118983..119029,119209..119284,119423..119476,119584..119788,119891..120015,120322..120372))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00163.1_13060,RvY_11050-1,RvY_11050,hypothetical protein,GAV00163.1,RvY_11050,RvY_11050,GAV00163.1 hypothetical protein RvY_11050 [Ramazzottius varieornatus],hypothetical protein RvY_11050,TRUE
"lcl|BDGG01000006.1_cds_GAV00164.1_13061 [gene=RvY_11051-1] [locus_tag=RvY_11051] [protein=hypothetical protein] [protein_id=GAV00164.1] [location=complement(join(122323..122376,122449..122708,122782..122887,122946..123269,123334..123653,123714..123855,123926..124053,124117..124438))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00164.1_13061,RvY_11051-1,RvY_11051,hypothetical protein,GAV00164.1,RvY_11051,RvY_11051,GAV00164.1 hypothetical protein RvY_11051 [Ramazzottius varieornatus],hypothetical protein RvY_11051,TRUE
lcl|BDGG01000006.1_cds_GAV00165.1_13062 [gene=RvY_11052-1] [locus_tag=RvY_11052] [protein=hypothetical protein] [protein_id=GAV00165.1] [location=125116..125418] [gbkey=CDS],lcl|BDGG01000006.1_cds_GAV00165.1_13062,RvY_11052-1,RvY_11052,hypothetical protein,GAV00165.1,RvY_11052,RvY_11052,GAV00165.1 hypothetical protein RvY_11052 [Ramazzottius varieornatus],hypothetical protein RvY_11052,TRUE
"lcl|BDGG01000006.1_cds_GAV00166.1_13063 [gene=RvY_11053-1] [locus_tag=RvY_11053] [protein=hypothetical protein] [protein_id=GAV00166.1] [location=join(127511..127589,127660..127814)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00166.1_13063,RvY_11053-1,RvY_11053,hypothetical protein,GAV00166.1,RvY_11053,RvY_11053,GAV00166.1 hypothetical protein RvY_11053 [Ramazzottius varieornatus],hypothetical protein RvY_11053,TRUE
"lcl|BDGG01000006.1_cds_GAV00167.1_13064 [gene=RvY_11054-1] [locus_tag=RvY_11054] [protein=hypothetical protein] [protein_id=GAV00167.1] [location=join(128545..128575,128825..129213)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00167.1_13064,RvY_11054-1,RvY_11054,hypothetical protein,GAV00167.1,RvY_11054,RvY_11054,GAV00167.1 hypothetical protein RvY_11054 [Ramazzottius varieornatus],hypothetical protein RvY_11054,TRUE
lcl|BDGG01000006.1_cds_GAV00168.1_13065 [gene=RvY_11055-1] [locus_tag=RvY_11055] [protein=hypothetical protein] [protein_id=GAV00168.1] [location=complement(130155..130316)] [gbkey=CDS],lcl|BDGG01000006.1_cds_GAV00168.1_13065,RvY_11055-1,RvY_11055,hypothetical protein,GAV00168.1,RvY_11055,RvY_11055,GAV00168.1 hypothetical protein RvY_11055 [Ramazzottius varieornatus],hypothetical protein RvY_11055,TRUE
"lcl|BDGG01000006.1_cds_GAV00169.1_13066 [gene=RvY_11056-1] [locus_tag=RvY_11056] [protein=hypothetical protein] [protein_id=GAV00169.1] [location=complement(join(130999..131102,131202..131535))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00169.1_13066,RvY_11056-1,RvY_11056,hypothetical protein,GAV00169.1,RvY_11056,RvY_11056,GAV00169.1 hypothetical protein RvY_11056 [Ramazzottius varieornatus],hypothetical protein RvY_11056,TRUE
"lcl|BDGG01000006.1_cds_GAV00170.1_13067 [gene=RvY_11057-1] [locus_tag=RvY_11057] [protein=hypothetical protein] [protein_id=GAV00170.1] [location=join(132021..132447,132512..132696,132781..132909,132977..133144,133201..133374,133494..133611,133863..133996,134072..134272)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00170.1_13067,RvY_11057-1,RvY_11057,hypothetical protein,GAV00170.1,RvY_11057,RvY_11057,GAV00170.1 hypothetical protein RvY_11057 [Ramazzottius varieornatus],hypothetical protein RvY_11057,TRUE
"lcl|BDGG01000006.1_cds_GAV00171.1_13068 [gene=RvY_11058-1] [locus_tag=RvY_11058] [protein=hypothetical protein] [protein_id=GAV00171.1] [location=join(138468..138549,139039..139367,139452..139584,139691..139989,140074..140254,140334..140480,140546..140723,140790..140879,141024..141522)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00171.1_13068,RvY_11058-1,RvY_11058,hypothetical protein,GAV00171.1,RvY_11058,RvY_11058,GAV00171.1 hypothetical protein RvY_11058 [Ramazzottius varieornatus],hypothetical protein RvY_11058,TRUE
lcl|BDGG01000006.1_cds_GAV00172.1_13069 [gene=RvY_11059-1] [locus_tag=RvY_11059] [protein=hypothetical protein] [protein_id=GAV00172.1] [location=complement(141621..141803)] [gbkey=CDS],lcl|BDGG01000006.1_cds_GAV00172.1_13069,RvY_11059-1,RvY_11059,hypothetical protein,GAV00172.1,RvY_11059,RvY_11059,GAV00172.1 hypothetical protein RvY_11059 [Ramazzottius varieornatus],hypothetical protein RvY_11059,TRUE
lcl|BDGG01000006.1_cds_GAV00173.1_13070 [gene=RvY_11060-1] [locus_tag=RvY_11060] [protein=hypothetical protein] [protein_id=GAV00173.1] [location=141854..142225] [gbkey=CDS],lcl|BDGG01000006.1_cds_GAV00173.1_13070,RvY_11060-1,RvY_11060,hypothetical protein,GAV00173.1,RvY_11060,RvY_11060,GAV00173.1 hypothetical protein RvY_11060 [Ramazzottius varieornatus],hypothetical protein RvY_11060,TRUE
"lcl|BDGG01000006.1_cds_GAV00174.1_13071 [gene=RvY_11061-1] [locus_tag=RvY_11061] [protein=hypothetical protein] [protein_id=GAV00174.1] [location=join(142769..143062,143365..143940)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00174.1_13071,RvY_11061-1,RvY_11061,hypothetical protein,GAV00174.1,RvY_11061,RvY_11061,GAV00174.1 hypothetical protein RvY_11061 [Ramazzottius varieornatus],hypothetical protein RvY_11061,TRUE
"lcl|BDGG01000006.1_cds_GAV00175.1_13072 [gene=RvY_11062-1] [locus_tag=RvY_11062] [protein=hypothetical protein] [protein_id=GAV00175.1] [location=complement(join(145483..145725,145805..145899,146001..146125,146335..146449,146529..146866,147184..147456,147513..147714,147813..147959,148056..148214,148337..148385,148551..148598))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00175.1_13072,RvY_11062-1,RvY_11062,hypothetical protein,GAV00175.1,RvY_11062,RvY_11062,GAV00175.1 hypothetical protein RvY_11062 [Ramazzottius varieornatus],hypothetical protein RvY_11062,TRUE
"lcl|BDGG01000006.1_cds_GAV00176.1_13073 [gene=RvY_11063-1] [locus_tag=RvY_11063] [protein=hypothetical protein] [protein_id=GAV00176.1] [location=join(149941..149972,150068..150471,151055..151373,151577..151837,151906..152018,152093..152343,152408..152586,152853..153150)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00176.1_13073,RvY_11063-1,RvY_11063,hypothetical protein,GAV00176.1,RvY_11063,RvY_11063,GAV00176.1 hypothetical protein RvY_11063 [Ramazzottius varieornatus],hypothetical protein RvY_11063,TRUE
"lcl|BDGG01000006.1_cds_GAV00177.1_13074 [gene=RvY_11064-1] [locus_tag=RvY_11064] [protein=hypothetical protein] [protein_id=GAV00177.1] [location=complement(join(155912..156042,157087..157153))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00177.1_13074,RvY_11064-1,RvY_11064,hypothetical protein,GAV00177.1,RvY_11064,RvY_11064,GAV00177.1 hypothetical protein RvY_11064 [Ramazzottius varieornatus],hypothetical protein RvY_11064,TRUE
"lcl|BDGG01000006.1_cds_GAV00178.1_13075 [gene=RvY_11065-1] [locus_tag=RvY_11065] [protein=hypothetical protein] [protein_id=GAV00178.1] [location=complement(join(157815..157888,159029..159161))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00178.1_13075,RvY_11065-1,RvY_11065,hypothetical protein,GAV00178.1,RvY_11065,RvY_11065,GAV00178.1 hypothetical protein RvY_11065 [Ramazzottius varieornatus],hypothetical protein RvY_11065,TRUE
"lcl|BDGG01000006.1_cds_GAV00179.1_13076 [gene=RvY_11066] [locus_tag=RvY_11066-1] [protein=hypothetical protein] [protein_id=GAV00179.1] [location=join(159773..159937,160025..160217,160302..160539,160604..160815,160880..161487)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00179.1_13076,RvY_11066,RvY_11066-1,hypothetical protein,GAV00179.1,RvY_11066,RvY_11066,GAV00179.1 hypothetical protein RvY_11066-1 [Ramazzottius varieornatus],hypothetical protein RvY_11066-1,TRUE
"lcl|BDGG01000006.1_cds_GAV00180.1_13077 [gene=RvY_11066] [locus_tag=RvY_11066-2] [protein=hypothetical protein] [protein_id=GAV00180.1] [location=join(159773..159937,160025..160217,160302..160539,160604..160844)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00180.1_13077,RvY_11066,RvY_11066-2,hypothetical protein,GAV00180.1,RvY_11066,RvY_11066,GAV00180.1 hypothetical protein RvY_11066-2 [Ramazzottius varieornatus],hypothetical protein RvY_11066-2,TRUE
"lcl|BDGG01000006.1_cds_GAV00181.1_13078 [gene=RvY_11067] [locus_tag=RvY_11067-1] [protein=hypothetical protein] [protein_id=GAV00181.1] [location=complement(join(161798..161894,161963..162381,162445..162654,162711..162900,162976..163333,163393..163699,163762..164289,164417..164509,164575..164673,164751..164844,164903..164955,165068..165139))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00181.1_13078,RvY_11067,RvY_11067-1,hypothetical protein,GAV00181.1,RvY_11067,RvY_11067,GAV00181.1 hypothetical protein RvY_11067-1 [Ramazzottius varieornatus],hypothetical protein RvY_11067-1,TRUE
"lcl|BDGG01000006.1_cds_GAV00182.1_13079 [gene=RvY_11067] [locus_tag=RvY_11067-2] [protein=hypothetical protein] [protein_id=GAV00182.1] [location=complement(join(162424..162654,162711..162900,162976..163333,163393..163699,163762..164289,164417..164509,164575..164598))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00182.1_13079,RvY_11067,RvY_11067-2,hypothetical protein,GAV00182.1,RvY_11067,RvY_11067,GAV00182.1 hypothetical protein RvY_11067-2 [Ramazzottius varieornatus],hypothetical protein RvY_11067-2,TRUE
"lcl|BDGG01000006.1_cds_GAV00183.1_13080 [gene=RvY_11068] [locus_tag=RvY_11068-1] [protein_id=GAV00183.1] [location=join(168827..169278,169475..169736,169838..169918)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00183.1_13080,RvY_11068,RvY_11068-1,NA,GAV00183.1,RvY_11068,RvY_11068,GAV00183.1 RvY_11068 [Ramazzottius varieornatus],RvY_11068,TRUE
"lcl|BDGG01000006.1_cds_GAV00184.1_13081 [gene=RvY_11068] [locus_tag=RvY_11068-3] [protein=hypothetical protein] [partial=5'] [protein_id=GAV00184.1] [location=join(<168833..169278,169475..169736,169838..169918)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00184.1_13081,RvY_11068,RvY_11068-3,hypothetical protein,GAV00184.1,RvY_11068,RvY_11068,"GAV00184.1 hypothetical protein RvY_11068-3, partial [Ramazzottius varieornatus]","hypothetical protein RvY_11068-3, partial",TRUE
"lcl|BDGG01000006.1_cds_GAV00185.1_13082 [gene=RvY_11069-1] [locus_tag=RvY_11069] [protein=hypothetical protein] [protein_id=GAV00185.1] [location=complement(join(170206..170665,170726..171162,171468..171598,172224..172760,174723..175312,175519..176116,176188..176305))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00185.1_13082,RvY_11069-1,RvY_11069,hypothetical protein,GAV00185.1,RvY_11069,RvY_11069,GAV00185.1 hypothetical protein RvY_11069 [Ramazzottius varieornatus],hypothetical protein RvY_11069,TRUE
"lcl|BDGG01000006.1_cds_GAV00186.1_13083 [gene=RvY_11070-1] [locus_tag=RvY_11070] [protein=hypothetical protein] [protein_id=GAV00186.1] [location=join(171431..171620,173063..173140,173216..173319)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00186.1_13083,RvY_11070-1,RvY_11070,hypothetical protein,GAV00186.1,RvY_11070,RvY_11070,GAV00186.1 hypothetical protein RvY_11070 [Ramazzottius varieornatus],hypothetical protein RvY_11070,TRUE
"lcl|BDGG01000006.1_cds_GAV00187.1_13084 [gene=RvY_11071-1] [locus_tag=RvY_11071] [protein=hypothetical protein] [protein_id=GAV00187.1] [location=complement(join(176537..176778,177288..177461,178356..178455))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00187.1_13084,RvY_11071-1,RvY_11071,hypothetical protein,GAV00187.1,RvY_11071,RvY_11071,GAV00187.1 hypothetical protein RvY_11071 [Ramazzottius varieornatus],hypothetical protein RvY_11071,TRUE
"lcl|BDGG01000006.1_cds_GAV00188.1_13085 [gene=RvY_11072-1] [locus_tag=RvY_11072] [protein=hypothetical protein] [protein_id=GAV00188.1] [location=join(183441..183498,184571..185098,185418..185986)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00188.1_13085,RvY_11072-1,RvY_11072,hypothetical protein,GAV00188.1,RvY_11072,RvY_11072,GAV00188.1 hypothetical protein RvY_11072 [Ramazzottius varieornatus],hypothetical protein RvY_11072,TRUE
lcl|BDGG01000006.1_cds_GAV00189.1_13086 [gene=RvY_11073-1] [locus_tag=RvY_11073] [protein=hypothetical protein] [protein_id=GAV00189.1] [location=complement(184434..184679)] [gbkey=CDS],lcl|BDGG01000006.1_cds_GAV00189.1_13086,RvY_11073-1,RvY_11073,hypothetical protein,GAV00189.1,RvY_11073,RvY_11073,GAV00189.1 hypothetical protein RvY_11073 [Ramazzottius varieornatus],hypothetical protein RvY_11073,TRUE
"lcl|BDGG01000006.1_cds_GAV00190.1_13087 [gene=RvY_11074-1] [locus_tag=RvY_11074] [protein=hypothetical protein] [protein_id=GAV00190.1] [location=complement(join(187234..187465,187552..187873,187940..188328,188472..188506,188558..188809))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00190.1_13087,RvY_11074-1,RvY_11074,hypothetical protein,GAV00190.1,RvY_11074,RvY_11074,GAV00190.1 hypothetical protein RvY_11074 [Ramazzottius varieornatus],hypothetical protein RvY_11074,TRUE
"lcl|BDGG01000006.1_cds_GAV00191.1_13088 [gene=RvY_11075-1] [locus_tag=RvY_11075] [protein=hypothetical protein] [protein_id=GAV00191.1] [location=join(190730..190972,191043..191216,191890..192008,192079..192301,192501..192677)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00191.1_13088,RvY_11075-1,RvY_11075,hypothetical protein,GAV00191.1,RvY_11075,RvY_11075,GAV00191.1 hypothetical protein RvY_11075 [Ramazzottius varieornatus],hypothetical protein RvY_11075,TRUE
"lcl|BDGG01000006.1_cds_GAV00192.1_13089 [gene=RvY_11076-1] [locus_tag=RvY_11076] [protein=hypothetical protein] [protein_id=GAV00192.1] [location=complement(join(193967..194074,194161..194207,194273..194345,194419..194598,194662..194994,195070..195180,195246..195351,195417..195537,195625..195796,195916..196089,196183..196325,196388..196682,196746..196952,197025..197377,197461..197659,197728..197961,198039..198388,198451..198682,198772..199164,199359..199469,199568..199699,199766..199924,200007..200151,200236..200394,200458..200673,201035..201147))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00192.1_13089,RvY_11076-1,RvY_11076,hypothetical protein,GAV00192.1,RvY_11076,RvY_11076,GAV00192.1 hypothetical protein RvY_11076 [Ramazzottius varieornatus],hypothetical protein RvY_11076,TRUE
"lcl|BDGG01000006.1_cds_GAV00193.1_13090 [gene=RvY_11077-1] [locus_tag=RvY_11077] [protein=hypothetical protein] [protein_id=GAV00193.1] [location=join(201267..201324,201377..201585)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00193.1_13090,RvY_11077-1,RvY_11077,hypothetical protein,GAV00193.1,RvY_11077,RvY_11077,GAV00193.1 hypothetical protein RvY_11077 [Ramazzottius varieornatus],hypothetical protein RvY_11077,TRUE
"lcl|BDGG01000006.1_cds_GAV00194.1_13091 [gene=RvY_11078-1] [locus_tag=RvY_11078] [protein=hypothetical protein] [protein_id=GAV00194.1] [location=complement(join(202131..202366,202536..202614))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00194.1_13091,RvY_11078-1,RvY_11078,hypothetical protein,GAV00194.1,RvY_11078,RvY_11078,GAV00194.1 hypothetical protein RvY_11078 [Ramazzottius varieornatus],hypothetical protein RvY_11078,TRUE
lcl|BDGG01000006.1_cds_GAV00195.1_13092 [gene=RvY_11079-1] [locus_tag=RvY_11079] [protein=hypothetical protein] [protein_id=GAV00195.1] [location=complement(203257..203625)] [gbkey=CDS],lcl|BDGG01000006.1_cds_GAV00195.1_13092,RvY_11079-1,RvY_11079,hypothetical protein,GAV00195.1,RvY_11079,RvY_11079,GAV00195.1 hypothetical protein RvY_11079 [Ramazzottius varieornatus],hypothetical protein RvY_11079,TRUE
"lcl|BDGG01000006.1_cds_GAV00196.1_13093 [gene=RvY_11080-1] [locus_tag=RvY_11080] [protein=hypothetical protein] [protein_id=GAV00196.1] [location=join(203685..203726,203810..203911,204131..204275,204356..204496,204557..204591)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00196.1_13093,RvY_11080-1,RvY_11080,hypothetical protein,GAV00196.1,RvY_11080,RvY_11080,GAV00196.1 hypothetical protein RvY_11080 [Ramazzottius varieornatus],hypothetical protein RvY_11080,TRUE
"lcl|BDGG01000006.1_cds_GAV00197.1_13094 [gene=RvY_11081-1] [locus_tag=RvY_11081] [protein=hypothetical protein] [protein_id=GAV00197.1] [location=complement(join(205045..205438,205497..205707,205768..206107,206174..206476,206732..207146,207214..207569,207631..207823,207893..208077,208250..208607,208675..208910,209014..209181,209246..209590,209892..210143,210217..210369,210462..210531,210594..210896,211178..211266,211335..211619,211760..211939))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00197.1_13094,RvY_11081-1,RvY_11081,hypothetical protein,GAV00197.1,RvY_11081,RvY_11081,GAV00197.1 hypothetical protein RvY_11081 [Ramazzottius varieornatus],hypothetical protein RvY_11081,TRUE
lcl|BDGG01000006.1_cds_GAV00198.1_13095 [gene=RvY_11082-1] [locus_tag=RvY_11082] [protein=hypothetical protein] [protein_id=GAV00198.1] [location=212356..212730] [gbkey=CDS],lcl|BDGG01000006.1_cds_GAV00198.1_13095,RvY_11082-1,RvY_11082,hypothetical protein,GAV00198.1,RvY_11082,RvY_11082,GAV00198.1 hypothetical protein RvY_11082 [Ramazzottius varieornatus],hypothetical protein RvY_11082,TRUE
"lcl|BDGG01000006.1_cds_GAV00199.1_13096 [gene=RvY_11083-1] [locus_tag=RvY_11083] [protein=hypothetical protein] [protein_id=GAV00199.1] [location=join(213058..213144,213235..213489)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00199.1_13096,RvY_11083-1,RvY_11083,hypothetical protein,GAV00199.1,RvY_11083,RvY_11083,GAV00199.1 hypothetical protein RvY_11083 [Ramazzottius varieornatus],hypothetical protein RvY_11083,TRUE
"lcl|BDGG01000006.1_cds_GAV00200.1_13097 [gene=RvY_11084-1] [locus_tag=RvY_11084] [protein=hypothetical protein] [protein_id=GAV00200.1] [location=join(213558..213620,213957..214073,214145..214211,214280..214516,214581..214819)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00200.1_13097,RvY_11084-1,RvY_11084,hypothetical protein,GAV00200.1,RvY_11084,RvY_11084,GAV00200.1 hypothetical protein RvY_11084 [Ramazzottius varieornatus],hypothetical protein RvY_11084,TRUE
"lcl|BDGG01000006.1_cds_GAV00201.1_13098 [gene=RvY_11085-1] [locus_tag=RvY_11085] [protein=hypothetical protein] [protein_id=GAV00201.1] [location=complement(join(215208..215593,215986..216159,216221..216273,216336..216535,216604..216755,216819..216987,217054..217180,217262..217464))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00201.1_13098,RvY_11085-1,RvY_11085,hypothetical protein,GAV00201.1,RvY_11085,RvY_11085,GAV00201.1 hypothetical protein RvY_11085 [Ramazzottius varieornatus],hypothetical protein RvY_11085,TRUE
"lcl|BDGG01000006.1_cds_GAV00202.1_13099 [gene=RvY_11086-1] [locus_tag=RvY_11086] [protein=hypothetical protein] [protein_id=GAV00202.1] [location=join(218628..218693,218794..218852,219817..219946,220017..220214,220297..220462,220539..220796,220880..221004,221075..221138,221195..221394)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00202.1_13099,RvY_11086-1,RvY_11086,hypothetical protein,GAV00202.1,RvY_11086,RvY_11086,GAV00202.1 hypothetical protein RvY_11086 [Ramazzottius varieornatus],hypothetical protein RvY_11086,TRUE
"lcl|BDGG01000006.1_cds_GAV00203.1_13100 [gene=RvY_11087-1] [locus_tag=RvY_11087] [protein=hypothetical protein] [protein_id=GAV00203.1] [location=join(222668..223111,223206..223498,223565..223698,223773..224089,224148..224228,224310..224470,224533..225039,225096..225237,225314..225477,225560..225748,225933..226098)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00203.1_13100,RvY_11087-1,RvY_11087,hypothetical protein,GAV00203.1,RvY_11087,RvY_11087,GAV00203.1 hypothetical protein RvY_11087 [Ramazzottius varieornatus],hypothetical protein RvY_11087,TRUE
"lcl|BDGG01000006.1_cds_GAV00204.1_13101 [gene=RvY_11088-1] [locus_tag=RvY_11088] [protein=hypothetical protein] [protein_id=GAV00204.1] [location=complement(join(226581..226820,226886..227002,227088..227186,227256..227330,227418..227612,227673..227855))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00204.1_13101,RvY_11088-1,RvY_11088,hypothetical protein,GAV00204.1,RvY_11088,RvY_11088,GAV00204.1 hypothetical protein RvY_11088 [Ramazzottius varieornatus],hypothetical protein RvY_11088,TRUE
lcl|BDGG01000006.1_cds_GAV00205.1_13102 [gene=RvY_11089-1] [locus_tag=RvY_11089] [protein=hypothetical protein] [protein_id=GAV00205.1] [location=228406..228774] [gbkey=CDS],lcl|BDGG01000006.1_cds_GAV00205.1_13102,RvY_11089-1,RvY_11089,hypothetical protein,GAV00205.1,RvY_11089,RvY_11089,GAV00205.1 hypothetical protein RvY_11089 [Ramazzottius varieornatus],hypothetical protein RvY_11089,TRUE
"lcl|BDGG01000006.1_cds_GAV00206.1_13103 [gene=RvY_11090-1] [locus_tag=RvY_11090] [protein=hypothetical protein] [protein_id=GAV00206.1] [location=join(229035..229331,229403..229570,229690..229887,229953..230100,230171..230265,230327..230457,230540..230635,230719..230839,230903..231109)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00206.1_13103,RvY_11090-1,RvY_11090,hypothetical protein,GAV00206.1,RvY_11090,RvY_11090,GAV00206.1 hypothetical protein RvY_11090 [Ramazzottius varieornatus],hypothetical protein RvY_11090,TRUE
"lcl|BDGG01000006.1_cds_GAV00207.1_13104 [gene=RvY_11091-1] [locus_tag=RvY_11091] [protein=hypothetical protein] [protein_id=GAV00207.1] [location=join(232486..232722,232779..233189,233466..233837)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00207.1_13104,RvY_11091-1,RvY_11091,hypothetical protein,GAV00207.1,RvY_11091,RvY_11091,GAV00207.1 hypothetical protein RvY_11091 [Ramazzottius varieornatus],hypothetical protein RvY_11091,TRUE
"lcl|BDGG01000006.1_cds_GAV00208.1_13105 [gene=RvY_11092-1] [locus_tag=RvY_11092] [protein=hypothetical protein] [protein_id=GAV00208.1] [location=join(236380..236505,236820..237044)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00208.1_13105,RvY_11092-1,RvY_11092,hypothetical protein,GAV00208.1,RvY_11092,RvY_11092,GAV00208.1 hypothetical protein RvY_11092 [Ramazzottius varieornatus],hypothetical protein RvY_11092,TRUE
"lcl|BDGG01000006.1_cds_GAV00210.1_13106 [gene=RvY_11093] [locus_tag=RvY_11093-1] [protein=hypothetical protein] [protein_id=GAV00210.1] [location=join(238016..238239,238311..238473,239039..239111,240466..240521,241861..241934,242001..242069,242981..243444,243507..243636,243725..243837,243913..244068,244136..244218)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00210.1_13106,RvY_11093,RvY_11093-1,hypothetical protein,GAV00210.1,RvY_11093,RvY_11093,GAV00210.1 hypothetical protein RvY_11093-1 [Ramazzottius varieornatus],hypothetical protein RvY_11093-1,TRUE
"lcl|BDGG01000006.1_cds_GAV00209.1_13107 [gene=RvY_11093] [locus_tag=RvY_11093-1] [protein=hypothetical protein] [protein_id=GAV00209.1] [location=join(238016..238239,238311..238467,239039..239111,240466..240521,241861..241934,242001..242069,242981..243444,243507..243636,243725..243837,243913..244068,244136..244218)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00209.1_13107,RvY_11093,RvY_11093-1,hypothetical protein,GAV00209.1,RvY_11093,RvY_11093,GAV00209.1 hypothetical protein RvY_11093-2 [Ramazzottius varieornatus],hypothetical protein RvY_11093-2,TRUE
"lcl|BDGG01000006.1_cds_GAV00211.1_13108 [gene=RvY_11093] [locus_tag=RvY_11093-3] [protein=hypothetical protein] [protein_id=GAV00211.1] [location=join(238016..238239,238311..238467,239039..239111,240466..240521,241861..241934,242001..242069,242981..243444,243507..243640)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00211.1_13108,RvY_11093,RvY_11093-3,hypothetical protein,GAV00211.1,RvY_11093,RvY_11093,GAV00211.1 hypothetical protein RvY_11093-3 [Ramazzottius varieornatus],hypothetical protein RvY_11093-3,TRUE
"lcl|BDGG01000006.1_cds_GAV00212.1_13109 [gene=RvY_11094-1] [locus_tag=RvY_11094] [protein=hypothetical protein] [protein_id=GAV00212.1] [location=complement(join(244585..245208,245281..245530,245602..245733,245936..246258))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00212.1_13109,RvY_11094-1,RvY_11094,hypothetical protein,GAV00212.1,RvY_11094,RvY_11094,GAV00212.1 hypothetical protein RvY_11094 [Ramazzottius varieornatus],hypothetical protein RvY_11094,TRUE
"lcl|BDGG01000006.1_cds_GAV00213.1_13110 [gene=RvY_11095-1] [locus_tag=RvY_11095] [protein=hypothetical protein] [protein_id=GAV00213.1] [location=complement(join(247106..249510,249592..249925,250234..250688,250813..250934,251027..251953,252028..252501,252576..252798,255360..255402))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00213.1_13110,RvY_11095-1,RvY_11095,hypothetical protein,GAV00213.1,RvY_11095,RvY_11095,GAV00213.1 hypothetical protein RvY_11095 [Ramazzottius varieornatus],hypothetical protein RvY_11095,TRUE
